#oID	descriptor	value	sigma
62089	BAKERY	3.7143	9.6323
62351	BAKERY	3.346	16.579
62465	BAKERY	9.3648	14.299
251531	BAKERY	2.2741	6.8401
440917	BAKERY	2.1977	8.3523
637758	BAKERY	4.069	13.977
853433	BAKERY	10.166	16.499
1549025	BAKERY	4.2294	16.124
2733294	BAKERY	3.5035	13.458
5281167	BAKERY	2.6507	9.0658
5281168	BAKERY	3.122	8.8394
5318599	BAKERY	3.2612	9.6799
5352837	BAKERY	2.3962	7.4763
5364231	BAKERY	4.3163	17.161
5371102	BAKERY	2.3858	5.5348
10857465	BAKERY	1.5734	5.9499
180	SWEET	7.9545	18.58
262	SWEET	9.2625	20.879
264	SWEET	8.7036	16.498
323	SWEET	25.927	26.532
702	SWEET	6.5575	16.3
750	SWEET	7.3234	17.88
753	SWEET	8.9624	19.805
962	SWEET	17.196	21.178
1031	SWEET	5.3847	14.022
3102	SWEET	14.213	24.966
3314	SWEET	11.34	18.122
5862	SWEET	4.2907	9.4124
5962	SWEET	8.6997	17.689
6274	SWEET	5.2223	16.505
6322	SWEET	13.394	22.859
6506	SWEET	6.1825	12.127
6544	SWEET	18.748	25.976
6561	SWEET	5.719	14.067
6669	SWEET	5.3573	18.538
7092	SWEET	25.59	25.578
7137	SWEET	30.84	29.67
7302	SWEET	12.031	22.257
7476	SWEET	28.839	30.304
7559	SWEET	18.439	27.2
7657	SWEET	6.6698	15.758
7770	SWEET	28.3	29.094
7793	SWEET	16.509	22.271
7797	SWEET	33.871	29.897
8025	SWEET	10.76	20.002
8049	SWEET	9.9837	16.997
8094	SWEET	12.87	18.352
8419	SWEET	26.749	25.472
8438	SWEET	22.982	26.567
8468	SWEET	13.467	18.963
8815	SWEET	16.345	22.752
8878	SWEET	24.473	26.023
9012	SWEET	2.9611	5.9247
10886	SWEET	25.377	27.062
11567	SWEET	16.184	24.683
12020	SWEET	7.1778	16.939
12265	SWEET	4.4718	13.222
12377	SWEET	5.4314	7.9255
15654	SWEET	3.6571	9.8229
16537	SWEET	30.649	29.246
17898	SWEET	10.041	20.177
18467	SWEET	10.872	22.179
21363	SWEET	10.134	18.94
27440	SWEET	4.7419	11.932
31219	SWEET	22.438	27.781
31276	SWEET	17.787	24.001
31283	SWEET	2.9742	7.432
60998	SWEET	12.996	23.226
61523	SWEET	14.423	22.888
62089	SWEET	10.386	16.324
62351	SWEET	3.1449	4.2915
62465	SWEET	12.578	19.007
251531	SWEET	9.9004	21.212
440917	SWEET	12.589	21.649
637758	SWEET	24.485	30.269
853433	SWEET	14.806	21.391
1549025	SWEET	13.316	18.229
2733294	SWEET	20.772	24.813
5281167	SWEET	6.9895	18.578
5281168	SWEET	6.9931	16.33
5318599	SWEET	8.7259	18.83
5352837	SWEET	11.11	20.891
5364231	SWEET	20.731	26.395
5371102	SWEET	11.078	18.944
10857465	SWEET	16.848	22.433
180	FRUIT	2.1229	7.5604
262	FRUIT	3.2326	10.06
264	FRUIT	2.7188	8.2042
323	FRUIT	4.2927	12.614
702	FRUIT	0.30383	4.0755
750	FRUIT	1.5961	5.5018
753	FRUIT	2.0617	7.5161
962	FRUIT	5.8394	9.5338
1031	FRUIT	0.94106	5.2507
3102	FRUIT	3.7523	12.335
3314	FRUIT	1.7842	7.7653
5862	FRUIT	1.5385	4.5679
5962	FRUIT	4.4752	10.438
6274	FRUIT	2.5432	7.7752
6322	FRUIT	9.1462	13.679
6506	FRUIT	2.48	5.5324
6544	FRUIT	7.1656	18.348
6561	FRUIT	2.1029	7.3443
6669	FRUIT	-12.037	-9.9482
7092	FRUIT	3.9469	12.306
7137	FRUIT	5.2941	14.849
7302	FRUIT	2.675	9.3888
7476	FRUIT	9.0952	19.913
7559	FRUIT	6.3516	15.53
7657	FRUIT	2.3029	7.0642
7770	FRUIT	20.749	28.762
7793	FRUIT	11.751	21.479
7797	FRUIT	28.117	34.31
8025	FRUIT	2.913	8.602
8049	FRUIT	5.6876	11.071
8094	FRUIT	5.6027	14.264
8419	FRUIT	3.6702	11.77
8438	FRUIT	3.6498	12.595
8468	FRUIT	0.96259	5.7782
8815	FRUIT	4.8232	14.333
8878	FRUIT	15.07	26.277
9012	FRUIT	1.3467	2.1261
10886	FRUIT	15.576	24.866
11567	FRUIT	4.8206	15.338
12020	FRUIT	2.4216	9.3645
12265	FRUIT	2.053	6.8842
12377	FRUIT	3.0342	7.0218
15654	FRUIT	1.5801	4.9585
16537	FRUIT	20.477	25.924
17898	FRUIT	2.9067	7.7022
18467	FRUIT	3.3147	8.3815
21363	FRUIT	2.613	9.237
27440	FRUIT	2.2426	6.4303
31219	FRUIT	9.3107	21.29
31276	FRUIT	14.191	24.403
31283	FRUIT	0.99662	5.3756
60998	FRUIT	4.7941	12.577
61523	FRUIT	4.0473	13.122
62089	FRUIT	3.5961	11.767
62351	FRUIT	1.1472	1.3686
62465	FRUIT	1.8738	7.6162
251531	FRUIT	2.9288	10.907
440917	FRUIT	4.6563	15.448
637758	FRUIT	7.9594	19.621
853433	FRUIT	2.4208	9.5273
1549025	FRUIT	8.2312	17.868
2733294	FRUIT	13.471	25.59
5281167	FRUIT	2.7213	10.922
5281168	FRUIT	2.691	9.5867
5318599	FRUIT	2.8527	11.579
5352837	FRUIT	5.0133	16.569
5364231	FRUIT	13.728	25.508
5371102	FRUIT	3.4157	10.791
10857465	FRUIT	3.6561	10.525
180	FISH	0.8206	4.3
262	FISH	0.74912	3.0225
264	FISH	0.98738	4.8207
323	FISH	0.54613	2.2576
702	FISH	1.9162	6.9501
750	FISH	1.5353	5.2261
753	FISH	1.2651	5.0437
962	FISH	2.1542	7.5298
1031	FISH	2.2735	7.966
3102	FISH	0.70073	3.1731
3314	FISH	1.4477	5.9511
5862	FISH	5.3549	13.852
5962	FISH	2.9236	7.8628
6274	FISH	1.4139	5.468
6322	FISH	2.7332	5.9601
6506	FISH	4.1907	13.332
6544	FISH	0.61646	2.7246
6561	FISH	0.59812	3.4255
6669	FISH	1.4752	8.1467
7092	FISH	0.52631	2.2215
7137	FISH	0.69328	3.4402
7302	FISH	1.5353	6.0143
7476	FISH	0.87934	3.7961
7559	FISH	1.1699	5.2187
7657	FISH	1.2389	4.7925
7770	FISH	0.89435	3.9109
7793	FISH	0.66983	3.1874
7797	FISH	0.73612	3.3626
8025	FISH	1.7442	6.2771
8049	FISH	1.8247	8.1147
8094	FISH	0.79765	3.9674
8419	FISH	1.0118	4.5097
8438	FISH	0.58817	2.8458
8468	FISH	1.4291	5.9227
8815	FISH	1.3869	5.1627
8878	FISH	0.80537	4.0297
9012	FISH	8.8095	20.529
10886	FISH	0.76233	3.7023
11567	FISH	1.3127	4.9105
12020	FISH	1.6414	6.6719
12265	FISH	1.884	7.0888
12377	FISH	9.6397	21.014
15654	FISH	4.8699	14.832
16537	FISH	0.5227	2.3695
17898	FISH	0.83512	3.9358
18467	FISH	0.70512	3.6639
21363	FISH	1.2417	5.2282
27440	FISH	4.8789	14.265
31219	FISH	0.97103	4.1521
31276	FISH	0.6704	3.1795
31283	FISH	1.7485	6.1908
60998	FISH	0.77771	4.3322
61523	FISH	1.3157	5.4337
62089	FISH	1.2265	5.5584
62351	FISH	9.125	22.231
62465	FISH	1.5096	6.1527
251531	FISH	1.0776	6.3149
440917	FISH	0.98695	3.9169
637758	FISH	0.72814	3.1955
853433	FISH	0.87843	3.9431
1549025	FISH	0.61719	2.6647
2733294	FISH	0.63748	2.9261
5281167	FISH	2.5469	7.8651
5281168	FISH	1.2045	5.046
5318599	FISH	1.402	5.1291
5352837	FISH	1.7325	5.4244
5364231	FISH	0.70755	3.2249
5371102	FISH	1.0291	5.1922
10857465	FISH	0.55116	2.3285
180	GARLIC	3.5875	14.849
262	GARLIC	2.4178	10.203
264	GARLIC	2.9495	12.356
323	GARLIC	1.6269	3.6123
702	GARLIC	6.0157	18.279
750	GARLIC	3.8932	16.419
753	GARLIC	3.2229	12.007
962	GARLIC	5.1388	20.018
1031	GARLIC	5.0934	15.442
3102	GARLIC	1.5781	4.7137
3314	GARLIC	2.8402	10.221
5862	GARLIC	9.8835	22.081
5962	GARLIC	2.3955	11.993
6274	GARLIC	2.1699	12.743
6322	GARLIC	2.0184	11.483
6506	GARLIC	5.1829	13.76
6544	GARLIC	1.7256	6.2963
6561	GARLIC	2.4212	10.657
6669	GARLIC	6.1029	21.834
7092	GARLIC	1.6121	3.2445
7137	GARLIC	2.3355	10.369
7302	GARLIC	3.0451	12.081
7476	GARLIC	1.7147	5.8277
7559	GARLIC	1.9944	7.8998
7657	GARLIC	1.9703	8.8104
7770	GARLIC	2.1223	8.9247
7793	GARLIC	1.8184	7.9246
7797	GARLIC	1.8392	7.5043
8025	GARLIC	3.5821	12.135
8049	GARLIC	2.2222	6.6246
8094	GARLIC	1.8914	8.1697
8419	GARLIC	1.7543	6.0969
8438	GARLIC	1.5939	4.2315
8468	GARLIC	2.7643	9.6034
8815	GARLIC	2.1209	7.7491
8878	GARLIC	2.3023	9.8175
9012	GARLIC	16.982	25.464
10886	GARLIC	2.2735	9.7783
11567	GARLIC	2.0102	7.2201
12020	GARLIC	3.2657	11.935
12265	GARLIC	2.563	12.799
12377	GARLIC	20.366	27.869
15654	GARLIC	8.984	20.578
16537	GARLIC	1.6531	3.0644
17898	GARLIC	1.8039	9.1746
18467	GARLIC	1.7929	9.2871
21363	GARLIC	2.0532	7.3247
27440	GARLIC	9.7606	21.395
31219	GARLIC	1.8557	7.607
31276	GARLIC	1.7242	7.1771
31283	GARLIC	2.4226	10.843
60998	GARLIC	2.087	9.9662
61523	GARLIC	1.8431	7.0249
62089	GARLIC	2.1729	10.245
62351	GARLIC	17.914	30.226
62465	GARLIC	2.4473	9.647
251531	GARLIC	1.6668	7.8116
440917	GARLIC	1.9949	7.4443
637758	GARLIC	1.8095	7.4468
853433	GARLIC	2.1213	8.3647
1549025	GARLIC	1.8692	8.9865
2733294	GARLIC	1.8173	7.8974
5281167	GARLIC	3.9814	11.667
5281168	GARLIC	2.677	10.01
5318599	GARLIC	3.0497	11.018
5352837	GARLIC	2.5074	8.1463
5364231	GARLIC	1.8883	7.5369
5371102	GARLIC	2.0547	6.8149
10857465	GARLIC	1.5846	2.182
180	SPICES	6.2414	18.05
262	SPICES	4.0304	13.138
264	SPICES	5.2368	15.695
323	SPICES	7.6722	19.222
702	SPICES	6.7648	17.181
750	SPICES	6.7921	16.762
753	SPICES	4.9157	15.923
962	SPICES	10.912	19.939
1031	SPICES	5.614	15.233
3102	SPICES	4.4303	15.56
3314	SPICES	16.325	23.651
5862	SPICES	7.4642	18.318
5962	SPICES	4.0777	10.289
6274	SPICES	4.2299	10.238
6322	SPICES	3.9373	9.7882
6506	SPICES	4.319	10.961
6544	SPICES	6.8325	18.302
6561	SPICES	5.0963	13.979
6669	SPICES	3.973	9.8157
7092	SPICES	8.1723	19.085
7137	SPICES	13.414	23.348
7302	SPICES	5.8111	16.32
7476	SPICES	8.5201	21.004
7559	SPICES	7.7899	19.416
7657	SPICES	5.6412	15.011
7770	SPICES	4.5465	13.846
7793	SPICES	7.5559	18.988
7797	SPICES	4.7615	14.827
8025	SPICES	5.086	14.655
8049	SPICES	3.908	11.334
8094	SPICES	4.6603	13.523
8419	SPICES	9.1611	20.351
8438	SPICES	7.2985	15.999
8468	SPICES	12.274	21.452
8815	SPICES	12.789	22.562
8878	SPICES	6.2324	17.084
9012	SPICES	10.132	20.246
10886	SPICES	5.1558	15.495
11567	SPICES	6.0043	16.902
12020	SPICES	6.9056	17.431
12265	SPICES	4.5387	12.088
12377	SPICES	11.55	20.533
15654	SPICES	10.064	21.345
16537	SPICES	7.4547	21.44
17898	SPICES	5.2721	14.279
18467	SPICES	5.8659	15.021
21363	SPICES	5.2474	15.314
27440	SPICES	9.7284	19.869
31219	SPICES	6.194	16.649
31276	SPICES	4.3911	12.368
31283	SPICES	3.8062	9.8247
60998	SPICES	6.0846	16.095
61523	SPICES	6.9012	18.425
62089	SPICES	5.3219	15.094
62351	SPICES	6.329	16.726
62465	SPICES	10.762	21.116
251531	SPICES	3.8867	11.19
440917	SPICES	12.63	22.628
637758	SPICES	6.0834	16.039
853433	SPICES	13.254	22.292
1549025	SPICES	4.6724	12.267
2733294	SPICES	4.8604	12.357
5281167	SPICES	5.3437	13.58
5281168	SPICES	5.003	12.767
5318599	SPICES	5.7546	13.848
5352837	SPICES	4.7025	12.598
5364231	SPICES	4.2184	12.118
5371102	SPICES	5.3779	14.241
10857465	SPICES	7.7662	20.767
180	COLD	3.5985	12.456
262	COLD	6.2983	17.564
264	COLD	3.3835	12.017
323	COLD	5.9978	17.697
702	COLD	4.0062	13.601
750	COLD	3.0315	11.079
753	COLD	4.2904	14.616
962	COLD	6.5449	18.602
1031	COLD	4.2663	14.148
3102	COLD	6.585	17.779
3314	COLD	3.9112	14.805
5862	COLD	2.8264	9.2647
5962	COLD	3.9772	13.904
6274	COLD	3.0867	11.013
6322	COLD	4.6004	14.869
6506	COLD	5.1177	15.434
6544	COLD	9.5456	22.159
6561	COLD	3.7391	12.504
6669	COLD	5.9403	5.9899
7092	COLD	5.5047	17.414
7137	COLD	4.1348	14.605
7302	COLD	3.8227	12.179
7476	COLD	6.0448	18.19
7559	COLD	4.6011	14.678
7657	COLD	4.2301	13.535
7770	COLD	5.1772	16.606
7793	COLD	5.9102	17.315
7797	COLD	5.376	17.599
8025	COLD	3.6122	12.489
8049	COLD	5.7077	16.576
8094	COLD	3.4329	13.084
8419	COLD	3.9635	14.843
8438	COLD	5.7015	16.685
8468	COLD	3.1135	12.424
8815	COLD	5.7252	17.041
8878	COLD	5.0392	16.562
9012	COLD	2.6897	9.6328
10886	COLD	5.1174	17.053
11567	COLD	7.3461	18.325
12020	COLD	4.7389	14.852
12265	COLD	4.068	13.727
12377	COLD	2.7691	10.225
15654	COLD	3.0152	9.9944
16537	COLD	8.7429	19.993
17898	COLD	3.3928	12.828
18467	COLD	3.3813	12.007
21363	COLD	4.4027	13.931
27440	COLD	2.9191	10.131
31219	COLD	4.9835	15.258
31276	COLD	4.5037	14.625
31283	COLD	4.2871	12.992
60998	COLD	4.1837	13.876
61523	COLD	4.792	15.767
62089	COLD	2.853	10.566
62351	COLD	2.5261	7.2886
62465	COLD	3.4537	13.716
251531	COLD	3.1955	11.024
440917	COLD	8.4692	20.245
637758	COLD	4.7517	15.929
853433	COLD	3.7836	14.75
1549025	COLD	3.1692	11.994
2733294	COLD	3.6256	13.423
5281167	COLD	4.2683	13.906
5281168	COLD	3.2076	11.787
5318599	COLD	4.1657	15.318
5352837	COLD	4.6171	15.329
5364231	COLD	4.0032	13.122
5371102	COLD	3.2534	11.79
10857465	COLD	10.024	22.949
180	SOUR	11.746	20.949
262	SOUR	6.4995	17.138
264	SOUR	14.57	24.156
323	SOUR	5.0886	13.052
702	SOUR	8.9087	19.382
750	SOUR	10.052	20.479
753	SOUR	10.496	22.177
962	SOUR	5.1273	16.883
1031	SOUR	11.92	22.839
3102	SOUR	4.944	12.964
3314	SOUR	6.5221	16.589
5862	SOUR	14.947	27.123
5962	SOUR	8.8267	21.074
6274	SOUR	7.9142	20.102
6322	SOUR	5.7191	18.029
6506	SOUR	21.279	31.272
6544	SOUR	6.3919	15.641
6561	SOUR	14.148	23.968
6669	SOUR	16.064	22.473
7092	SOUR	5.3824	13.976
7137	SOUR	6.9085	16.609
7302	SOUR	9.6164	18.452
7476	SOUR	5.9202	15.867
7559	SOUR	8.2639	18.705
7657	SOUR	6.4648	18.479
7770	SOUR	8.6626	18.913
7793	SOUR	6.8536	18.496
7797	SOUR	6.5815	16.901
8025	SOUR	13.596	23.879
8049	SOUR	10.983	22.101
8094	SOUR	11.891	22.557
8419	SOUR	6.4641	16.362
8438	SOUR	5.7731	14.428
8468	SOUR	7.7134	17.705
8815	SOUR	6.3027	17.139
8878	SOUR	8.2686	18.645
9012	SOUR	9.3805	24.314
10886	SOUR	6.161	15.756
11567	SOUR	8.004	16.893
12020	SOUR	10.169	20.825
12265	SOUR	7.77	18.948
12377	SOUR	13.432	26.834
15654	SOUR	11.91	24.034
16537	SOUR	5.601	16.707
17898	SOUR	6.9184	18.03
18467	SOUR	7.5754	18.761
21363	SOUR	9.9114	19.634
27440	SOUR	11.412	23.239
31219	SOUR	7.6148	17.964
31276	SOUR	10.62	21.521
31283	SOUR	13.327	22.181
60998	SOUR	8.1394	18.967
61523	SOUR	5.4769	15.761
62089	SOUR	12.244	21.791
62351	SOUR	18.61	31.037
62465	SOUR	6.1991	15.543
251531	SOUR	7.5092	18.593
440917	SOUR	6.3931	16.918
637758	SOUR	5.6489	14.97
853433	SOUR	6.0805	15.881
1549025	SOUR	10.074	21.16
2733294	SOUR	11.041	21.725
5281167	SOUR	11.97	22.672
5281168	SOUR	16.411	26.381
5318599	SOUR	10.184	21.099
5352837	SOUR	9.7	21.141
5364231	SOUR	9.3095	19.88
5371102	SOUR	9.8589	21.676
10857465	SOUR	4.9201	12.198
180	BURNT	3.115	9.9596
262	BURNT	4.5662	13.022
264	BURNT	4.4576	13.714
323	BURNT	3.4568	11.953
702	BURNT	2.4845	9.7602
750	BURNT	6.4056	17.468
753	BURNT	11.132	22.733
962	BURNT	3.19	11.514
1031	BURNT	2.6567	10.283
3102	BURNT	3.9845	8.6684
3314	BURNT	7.4554	21.727
5862	BURNT	18.298	29.065
5962	BURNT	6.6414	16.871
6274	BURNT	8.6293	21.018
6322	BURNT	6.0401	14.775
6506	BURNT	3.0454	10.712
6544	BURNT	3.6028	10.592
6561	BURNT	4.2459	11.256
6669	BURNT	1.4499	5.1655
7092	BURNT	3.4861	11.857
7137	BURNT	2.9523	13.216
7302	BURNT	5.5076	13.418
7476	BURNT	4.6718	12.274
7559	BURNT	3.4179	11.814
7657	BURNT	7.1591	18.031
7770	BURNT	2.0399	8.2557
7793	BURNT	5.2572	16.469
7797	BURNT	3.0424	10.073
8025	BURNT	2.2176	8.5364
8049	BURNT	5.6758	11.076
8094	BURNT	5.8297	15.605
8419	BURNT	7.0633	17.724
8438	BURNT	6.0179	13.667
8468	BURNT	7.5485	19.917
8815	BURNT	5.2047	15.271
8878	BURNT	4.2533	11.846
9012	BURNT	17.624	28.757
10886	BURNT	3.1295	10.493
11567	BURNT	4.1822	11.433
12020	BURNT	5.4332	14.992
12265	BURNT	6.1728	16.093
12377	BURNT	8.9752	22.153
15654	BURNT	16.2	28.055
16537	BURNT	2.6775	8.6064
17898	BURNT	8.8137	22.241
18467	BURNT	7.4853	19.278
21363	BURNT	5.5932	14.778
27440	BURNT	11.798	24.297
31219	BURNT	3.077	10.243
31276	BURNT	2.63	9.9826
31283	BURNT	7.3629	22.715
60998	BURNT	3.0713	10.936
61523	BURNT	8.3453	18.477
62089	BURNT	6.8964	19.239
62351	BURNT	23.057	30.989
62465	BURNT	8.1234	21.938
251531	BURNT	7.0621	13.686
440917	BURNT	4.2779	12.454
637758	BURNT	3.5094	11.272
853433	BURNT	7.2198	21.011
1549025	BURNT	5.0524	17.352
2733294	BURNT	3.6863	12.916
5281167	BURNT	2.4999	10.728
5281168	BURNT	3.3591	11.516
